role,permissions
roles/apigee.analyticsAgent,apigee.environments.getDataLocation
roles/apigee.analyticsEditor,apigee.environments.get;apigee.environments.getStats;apigee.organizations.get;apigee.organizations.list;apigee.queries.create;apigee.queries.get;apigee.queries.list;apigee.reports.create;apigee.reports.delete;apigee.reports.get;apigee.reports.list;apigee.reports.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/apigee.analyticsViewer,apigee.environments.getStats;apigee.organizations.get;apigee.organizations.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/apigee.apiCreator,apigee.apiproductattributes.get;apigee.apiproductattributes.list;apigee.apiproducts.get;apigee.apiproducts.list;apigee.apps.get;apigee.apps.list;apigee.environments.get;apigee.environments.getStats;apigee.environments.list;apigee.keyvaluemaps.create;apigee.keyvaluemaps.delete;apigee.keyvaluemaps.list;apigee.organizations.get;apigee.organizations.list;apigee.proxies.create;apigee.proxies.delete;apigee.proxies.get;apigee.proxies.list;apigee.proxyrevisions.delete;apigee.proxyrevisions.get;apigee.proxyrevisions.list;apigee.proxyrevisions.update;apigee.sharedflowrevisions.delete;apigee.sharedflowrevisions.deploy;apigee.sharedflowrevisions.get;apigee.sharedflowrevisions.list;apigee.sharedflowrevisions.undeploy;apigee.sharedflowrevisions.update;apigee.sharedflows.create;apigee.sharedflows.delete;apigee.sharedflows.get;apigee.sharedflows.list;apigee.tracesessions.create;apigee.tracesessions.delete;apigee.tracesessions.get;apigee.tracesessions.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/apigee.deployer,apigee.apiproductattributes.get;apigee.apiproductattributes.list;apigee.apiproducts.get;apigee.apiproducts.list;apigee.apps.get;apigee.apps.list;apigee.deployments.create;apigee.deployments.delete;apigee.deployments.get;apigee.deployments.list;apigee.deployments.update;apigee.environments.get;apigee.environments.getIamPolicy;apigee.environments.getStats;apigee.environments.list;apigee.environments.setIamPolicy;apigee.flowhooks.attachSharedFlow;apigee.flowhooks.detachSharedFlow;apigee.flowhooks.getSharedFlow;apigee.flowhooks.list;apigee.keystorealiases.create;apigee.keystorealiases.delete;apigee.keystorealiases.exportCertificate;apigee.keystorealiases.generateCSR;apigee.keystorealiases.get;apigee.keystorealiases.list;apigee.keystorealiases.update;apigee.keystores.create;apigee.keystores.delete;apigee.keystores.export;apigee.keystores.get;apigee.keystores.list;apigee.keyvaluemaps.create;apigee.keyvaluemaps.delete;apigee.keyvaluemaps.list;apigee.maskconfigs.get;apigee.maskconfigs.update;apigee.organizations.get;apigee.organizations.list;apigee.proxies.get;apigee.proxies.list;apigee.proxyrevisions.deploy;apigee.proxyrevisions.get;apigee.proxyrevisions.list;apigee.proxyrevisions.undeploy;apigee.references.create;apigee.references.delete;apigee.references.get;apigee.references.list;apigee.references.update;apigee.resourcefiles.create;apigee.resourcefiles.delete;apigee.resourcefiles.get;apigee.resourcefiles.list;apigee.resourcefiles.update;apigee.sharedflowrevisions.delete;apigee.sharedflowrevisions.deploy;apigee.sharedflowrevisions.get;apigee.sharedflowrevisions.list;apigee.sharedflowrevisions.undeploy;apigee.sharedflowrevisions.update;apigee.sharedflows.create;apigee.sharedflows.delete;apigee.sharedflows.get;apigee.sharedflows.list;apigee.targetservers.create;apigee.targetservers.delete;apigee.targetservers.get;apigee.targetservers.list;apigee.targetservers.update;apigee.tracesessions.create;apigee.tracesessions.delete;apigee.tracesessions.get;apigee.tracesessions.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list
roles/apigee.developerAdmin,apigee.apiproductattributes.get;apigee.apiproductattributes.list;apigee.apiproducts.get;apigee.apiproducts.list;apigee.appkeys.create;apigee.appkeys.delete;apigee.appkeys.get;apigee.appkeys.manage;apigee.developerappattributes.createOrUpdateAll;apigee.developerappattributes.delete;apigee.developerappattributes.get;apigee.developerappattributes.list;apigee.developerappattributes.update;apigee.developerapps.create;apigee.developerapps.delete;apigee.developerapps.get;apigee.developerapps.list;apigee.developerapps.manage;apigee.developerattributes.createOrUpdateAll;apigee.developerattributes.delete;apigee.developerattributes.get;apigee.developerattributes.list;apigee.developerattributes.update;apigee.developers.create;apigee.developers.delete;apigee.developers.get;apigee.developers.list;apigee.developers.update;apigee.environments.get;apigee.environments.getStats;apigee.organizations.get;apigee.organizations.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list
roles/apigee.readOnlyAdmin,apigee.apiproductattributes.get;apigee.apiproductattributes.list;apigee.apiproducts.get;apigee.apiproducts.list;apigee.appkeys.get;apigee.apps.get;apigee.apps.list;apigee.deployments.get;apigee.deployments.list;apigee.developerappattributes.get;apigee.developerappattributes.list;apigee.developerapps.get;apigee.developerapps.list;apigee.developerattributes.get;apigee.developerattributes.list;apigee.developers.get;apigee.developers.list;apigee.environments.get;apigee.environments.getDataLocation;apigee.environments.getIamPolicy;apigee.environments.getStats;apigee.environments.list;apigee.flowhooks.getSharedFlow;apigee.flowhooks.list;apigee.keystorealiases.get;apigee.keystorealiases.list;apigee.keystores.get;apigee.keystores.list;apigee.keyvaluemaps.list;apigee.maskconfigs.get;apigee.organizations.get;apigee.organizations.list;apigee.proxies.get;apigee.proxies.list;apigee.proxyrevisions.get;apigee.proxyrevisions.list;apigee.queries.get;apigee.queries.list;apigee.references.get;apigee.references.list;apigee.reports.get;apigee.reports.list;apigee.resourcefiles.get;apigee.resourcefiles.list;apigee.sharedflowrevisions.get;apigee.sharedflowrevisions.list;apigee.sharedflows.get;apigee.sharedflows.list;apigee.targetservers.get;apigee.targetservers.list;apigee.tracesessions.get;apigee.tracesessions.list;resourcemanager.projects.get;resourcemanager.projects.getIamPolicy;resourcemanager.projects.list
roles/apigee.synchronizerManager,apigee.environments.get;apigee.environments.manageRuntime
roles/appengine.appAdmin,appengine.applications.get;appengine.applications.update;appengine.instances.delete;appengine.instances.get;appengine.instances.list;appengine.operations.get;appengine.operations.list;appengine.runtimes.actAsAdmin;appengine.services.delete;appengine.services.get;appengine.services.list;appengine.services.update;appengine.versions.create;appengine.versions.delete;appengine.versions.get;appengine.versions.list;appengine.versions.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/appengine.appViewer,appengine.applications.get;appengine.instances.get;appengine.instances.list;appengine.operations.get;appengine.operations.list;appengine.services.get;appengine.services.list;appengine.versions.get;appengine.versions.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/appengine.codeViewer,appengine.applications.get;appengine.instances.get;appengine.instances.list;appengine.operations.get;appengine.operations.list;appengine.services.get;appengine.services.list;appengine.versions.get;appengine.versions.getFileContents;appengine.versions.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/appengine.deployer,appengine.applications.get;appengine.instances.get;appengine.instances.list;appengine.operations.get;appengine.operations.list;appengine.services.get;appengine.services.list;appengine.versions.create;appengine.versions.delete;appengine.versions.get;appengine.versions.list;resourcemanager.projects.get;resourcemanager.projects.list
