role,permissions
roles/cloudiot.serviceAgent,logging.logEntries.create;pubsub.topics.publish
roles/cloudiot.viewer,cloudiot.devices.get;cloudiot.devices.list;cloudiot.registries.get;cloudiot.registries.list;cloudiottoken.tokensettings.get
roles/cloudjobdiscovery.admin,cloudjobdiscovery.tools.access;iam.serviceAccounts.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudjobdiscovery.jobsEditor,cloudjobdiscovery.companies.create;cloudjobdiscovery.companies.delete;cloudjobdiscovery.companies.get;cloudjobdiscovery.companies.list;cloudjobdiscovery.companies.update;cloudjobdiscovery.events.create;cloudjobdiscovery.jobs.create;cloudjobdiscovery.jobs.delete;cloudjobdiscovery.jobs.get;cloudjobdiscovery.jobs.search;cloudjobdiscovery.jobs.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudjobdiscovery.jobsViewer,cloudjobdiscovery.companies.get;cloudjobdiscovery.companies.list;cloudjobdiscovery.jobs.get;cloudjobdiscovery.jobs.search;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudjobdiscovery.profilesEditor,cloudjobdiscovery.events.create;cloudjobdiscovery.profiles.create;cloudjobdiscovery.profiles.delete;cloudjobdiscovery.profiles.get;cloudjobdiscovery.profiles.search;cloudjobdiscovery.profiles.update;cloudjobdiscovery.tenants.create;cloudjobdiscovery.tenants.delete;cloudjobdiscovery.tenants.get;cloudjobdiscovery.tenants.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudjobdiscovery.profilesViewer,cloudjobdiscovery.profiles.get;cloudjobdiscovery.profiles.search;cloudjobdiscovery.tenants.get;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudkms.admin,cloudkms.cryptoKeyVersions.create;cloudkms.cryptoKeyVersions.destroy;cloudkms.cryptoKeyVersions.get;cloudkms.cryptoKeyVersions.list;cloudkms.cryptoKeyVersions.restore;cloudkms.cryptoKeyVersions.update;cloudkms.cryptoKeys.create;cloudkms.cryptoKeys.get;cloudkms.cryptoKeys.getIamPolicy;cloudkms.cryptoKeys.list;cloudkms.cryptoKeys.setIamPolicy;cloudkms.cryptoKeys.update;cloudkms.importJobs.create;cloudkms.importJobs.get;cloudkms.importJobs.getIamPolicy;cloudkms.importJobs.list;cloudkms.importJobs.setIamPolicy;cloudkms.importJobs.useToImport;cloudkms.keyRings.create;cloudkms.keyRings.get;cloudkms.keyRings.getIamPolicy;cloudkms.keyRings.list;cloudkms.keyRings.setIamPolicy;resourcemanager.projects.get
roles/cloudkms.cryptoKeyDecrypter,cloudkms.cryptoKeyVersions.useToDecrypt;resourcemanager.projects.get
roles/cloudkms.cryptoKeyEncrypter,cloudkms.cryptoKeyVersions.useToEncrypt;resourcemanager.projects.get
roles/cloudkms.cryptoKeyEncrypterDecrypter,cloudkms.cryptoKeyVersions.useToDecrypt;cloudkms.cryptoKeyVersions.useToEncrypt;resourcemanager.projects.get
roles/cloudkms.importer,cloudkms.importJobs.create;cloudkms.importJobs.get;cloudkms.importJobs.list;cloudkms.importJobs.useToImport;resourcemanager.projects.get
roles/cloudkms.publicKeyViewer,cloudkms.cryptoKeyVersions.viewPublicKey;resourcemanager.projects.get
roles/cloudkms.signer,cloudkms.cryptoKeyVersions.useToSign;resourcemanager.projects.get
roles/cloudkms.signerVerifier,cloudkms.cryptoKeyVersions.useToSign;cloudkms.cryptoKeyVersions.viewPublicKey;resourcemanager.projects.get
roles/cloudmigration.inframanager,cloudmigration.velostrataendpoints.connect;compute.addresses.create;compute.addresses.createInternal;compute.addresses.delete;compute.addresses.deleteInternal;compute.addresses.get;compute.addresses.list;compute.addresses.setLabels;compute.addresses.use;compute.addresses.useInternal;compute.diskTypes.get;compute.diskTypes.list;compute.disks.create;compute.disks.createSnapshot;compute.disks.delete;compute.disks.get;compute.disks.list;compute.disks.setLabels;compute.disks.update;compute.disks.use;compute.disks.useReadOnly;compute.globalOperations.get;compute.images.get;compute.images.list;compute.images.useReadOnly;compute.instances.attachDisk;compute.instances.create;compute.instances.delete;compute.instances.detachDisk;compute.instances.get;compute.instances.getSerialPortOutput;compute.instances.list;compute.instances.reset;compute.instances.setDiskAutoDelete;compute.instances.setLabels;compute.instances.setMachineType;compute.instances.setMetadata;compute.instances.setMinCpuPlatform;compute.instances.setScheduling;compute.instances.setServiceAccount;compute.instances.setTags;compute.instances.start;compute.instances.startWithEncryptionKey;compute.instances.stop;compute.instances.updateNetworkInterface;compute.instances.updateShieldedInstanceConfig;compute.instances.use;compute.licenseCodes.get;compute.licenseCodes.list;compute.licenseCodes.update;compute.licenseCodes.use;compute.licenses.get;compute.licenses.list;compute.machineTypes.get;compute.machineTypes.list;compute.networks.get;compute.networks.list;compute.networks.use;compute.networks.useExternalIp;compute.nodeGroups.get;compute.nodeGroups.list;compute.nodeTemplates.list;compute.projects.get;compute.regionOperations.get;compute.regions.get;compute.regions.list;compute.snapshots.create;compute.snapshots.delete;compute.snapshots.get;compute.snapshots.setLabels;compute.snapshots.useReadOnly;compute.subnetworks.get;compute.subnetworks.list;compute.subnetworks.use;compute.subnetworks.useExternalIp;compute.zoneOperations.get;compute.zones.get;compute.zones.list;gkehub.endpoints.connect;iam.serviceAccounts.get;iam.serviceAccounts.list;resourcemanager.projects.get;storage.buckets.create;storage.buckets.delete;storage.buckets.get;storage.buckets.list;storage.buckets.update
roles/cloudmigration.storageaccess,storage.objects.create;storage.objects.delete;storage.objects.get;storage.objects.list;storage.objects.update
roles/cloudmigration.velostrataconnect,cloudmigration.velostrataendpoints.connect;gkehub.endpoints.connect
roles/cloudprivatecatalog.consumer,cloudprivatecatalog.targets.get
roles/cloudprivatecatalogproducer.admin,cloudprivatecatalogproducer.associations.create;cloudprivatecatalogproducer.associations.delete;cloudprivatecatalogproducer.associations.get;cloudprivatecatalogproducer.associations.list;cloudprivatecatalogproducer.catalogs.create;cloudprivatecatalogproducer.catalogs.delete;cloudprivatecatalogproducer.catalogs.get;cloudprivatecatalogproducer.catalogs.getIamPolicy;cloudprivatecatalogproducer.catalogs.list;cloudprivatecatalogproducer.catalogs.setIamPolicy;cloudprivatecatalogproducer.catalogs.undelete;cloudprivatecatalogproducer.catalogs.update;resourcemanager.folders.get;resourcemanager.folders.list;resourcemanager.organizations.get
roles/cloudprivatecatalogproducer.manager,cloudprivatecatalog.targets.get;cloudprivatecatalogproducer.associations.create;cloudprivatecatalogproducer.associations.delete;cloudprivatecatalogproducer.associations.get;cloudprivatecatalogproducer.associations.list;cloudprivatecatalogproducer.catalogs.get;cloudprivatecatalogproducer.catalogs.list;cloudprivatecatalogproducer.targets.associate;cloudprivatecatalogproducer.targets.unassociate;resourcemanager.folders.get;resourcemanager.folders.list;resourcemanager.organizations.get
roles/cloudprofiler.agent,cloudprofiler.profiles.create;cloudprofiler.profiles.update
roles/cloudprofiler.user,cloudprofiler.profiles.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/cloudscheduler.admin,appengine.applications.get;cloudscheduler.jobs.create;cloudscheduler.jobs.delete;cloudscheduler.jobs.enable;cloudscheduler.jobs.fullView;cloudscheduler.jobs.get;cloudscheduler.jobs.list;cloudscheduler.jobs.pause;cloudscheduler.jobs.run;cloudscheduler.jobs.update;cloudscheduler.locations.get;cloudscheduler.locations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
roles/cloudscheduler.jobRunner,appengine.applications.get;cloudscheduler.jobs.fullView;cloudscheduler.jobs.run;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
roles/cloudscheduler.serviceAgent,iam.serviceAccounts.getAccessToken;iam.serviceAccounts.getOpenIdToken;logging.logEntries.create;pubsub.topics.publish
roles/cloudscheduler.viewer,appengine.applications.get;cloudscheduler.jobs.fullView;cloudscheduler.jobs.get;cloudscheduler.jobs.list;cloudscheduler.locations.get;cloudscheduler.locations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.services.get;serviceusage.services.list
roles/cloudsecurityscanner.editor,appengine.applications.get;cloudsecurityscanner.crawledurls.list;cloudsecurityscanner.results.get;cloudsecurityscanner.results.list;cloudsecurityscanner.scanruns.get;cloudsecurityscanner.scanruns.getSummary;cloudsecurityscanner.scanruns.list;cloudsecurityscanner.scanruns.stop;cloudsecurityscanner.scans.create;cloudsecurityscanner.scans.delete;cloudsecurityscanner.scans.get;cloudsecurityscanner.scans.list;cloudsecurityscanner.scans.run;cloudsecurityscanner.scans.update;compute.addresses.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/cloudsecurityscanner.runner,cloudsecurityscanner.crawledurls.list;cloudsecurityscanner.scanruns.get;cloudsecurityscanner.scanruns.list;cloudsecurityscanner.scanruns.stop;cloudsecurityscanner.scans.get;cloudsecurityscanner.scans.list;cloudsecurityscanner.scans.run
roles/cloudsecurityscanner.viewer,cloudsecurityscanner.crawledurls.list;cloudsecurityscanner.results.get;cloudsecurityscanner.results.list;cloudsecurityscanner.scanruns.get;cloudsecurityscanner.scanruns.getSummary;cloudsecurityscanner.scanruns.list;cloudsecurityscanner.scans.get;cloudsecurityscanner.scans.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/cloudsql.admin,cloudsql.backupRuns.create;cloudsql.backupRuns.delete;cloudsql.backupRuns.get;cloudsql.backupRuns.list;cloudsql.databases.create;cloudsql.databases.delete;cloudsql.databases.get;cloudsql.databases.list;cloudsql.databases.update;cloudsql.instances.addServerCa;cloudsql.instances.clone;cloudsql.instances.connect;cloudsql.instances.create;cloudsql.instances.delete;cloudsql.instances.demoteMaster;cloudsql.instances.export;cloudsql.instances.failover;cloudsql.instances.get;cloudsql.instances.import;cloudsql.instances.list;cloudsql.instances.listServerCas;cloudsql.instances.promoteReplica;cloudsql.instances.resetSslConfig;cloudsql.instances.restart;cloudsql.instances.restoreBackup;cloudsql.instances.rotateServerCa;cloudsql.instances.startReplica;cloudsql.instances.stopReplica;cloudsql.instances.truncateLog;cloudsql.instances.update;cloudsql.sslCerts.create;cloudsql.sslCerts.createEphemeral;cloudsql.sslCerts.delete;cloudsql.sslCerts.get;cloudsql.sslCerts.list;cloudsql.users.create;cloudsql.users.delete;cloudsql.users.list;cloudsql.users.update;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/cloudsql.client,cloudsql.instances.connect;cloudsql.instances.get
roles/cloudsql.editor,cloudsql.backupRuns.create;cloudsql.backupRuns.get;cloudsql.backupRuns.list;cloudsql.databases.create;cloudsql.databases.get;cloudsql.databases.list;cloudsql.databases.update;cloudsql.instances.addServerCa;cloudsql.instances.connect;cloudsql.instances.export;cloudsql.instances.failover;cloudsql.instances.get;cloudsql.instances.list;cloudsql.instances.listServerCas;cloudsql.instances.restart;cloudsql.instances.rotateServerCa;cloudsql.instances.truncateLog;cloudsql.instances.update;cloudsql.sslCerts.get;cloudsql.sslCerts.list;cloudsql.users.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/cloudsql.viewer,cloudsql.backupRuns.get;cloudsql.backupRuns.list;cloudsql.databases.get;cloudsql.databases.list;cloudsql.instances.export;cloudsql.instances.get;cloudsql.instances.list;cloudsql.instances.listServerCas;cloudsql.sslCerts.get;cloudsql.sslCerts.list;cloudsql.users.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/cloudsupport.admin,cloudsupport.accounts.create;cloudsupport.accounts.delete;cloudsupport.accounts.get;cloudsupport.accounts.getIamPolicy;cloudsupport.accounts.getUserRoles;cloudsupport.accounts.list;cloudsupport.accounts.setIamPolicy;cloudsupport.accounts.update;cloudsupport.accounts.updateUserRoles;cloudsupport.operations.get;cloudsupport.properties.get
roles/cloudsupport.techSupportEditor,cloudsupport.properties.get;cloudsupport.techCases.create;cloudsupport.techCases.escalate;cloudsupport.techCases.get;cloudsupport.techCases.list;cloudsupport.techCases.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudsupport.techSupportViewer,cloudsupport.properties.get;cloudsupport.techCases.get;cloudsupport.techCases.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudsupport.viewer,cloudsupport.accounts.get;cloudsupport.accounts.getUserRoles;cloudsupport.accounts.list;cloudsupport.properties.get
roles/cloudtasks.admin,cloudtasks.locations.get;cloudtasks.locations.list;cloudtasks.queues.create;cloudtasks.queues.delete;cloudtasks.queues.get;cloudtasks.queues.getIamPolicy;cloudtasks.queues.list;cloudtasks.queues.pause;cloudtasks.queues.purge;cloudtasks.queues.resume;cloudtasks.queues.setIamPolicy;cloudtasks.queues.update;cloudtasks.tasks.create;cloudtasks.tasks.delete;cloudtasks.tasks.fullView;cloudtasks.tasks.get;cloudtasks.tasks.list;cloudtasks.tasks.run;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtasks.enqueuer,cloudtasks.tasks.create;cloudtasks.tasks.fullView;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtasks.queueAdmin,cloudtasks.locations.get;cloudtasks.locations.list;cloudtasks.queues.create;cloudtasks.queues.delete;cloudtasks.queues.get;cloudtasks.queues.getIamPolicy;cloudtasks.queues.list;cloudtasks.queues.pause;cloudtasks.queues.purge;cloudtasks.queues.resume;cloudtasks.queues.setIamPolicy;cloudtasks.queues.update;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtasks.serviceAgent,iam.serviceAccounts.getAccessToken;iam.serviceAccounts.getOpenIdToken;logging.logEntries.create
roles/cloudtasks.taskDeleter,cloudtasks.tasks.delete;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtasks.taskRunner,cloudtasks.tasks.fullView;cloudtasks.tasks.run;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtasks.viewer,cloudtasks.locations.get;cloudtasks.locations.list;cloudtasks.queues.get;cloudtasks.queues.list;cloudtasks.tasks.fullView;cloudtasks.tasks.get;cloudtasks.tasks.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtestservice.testAdmin,cloudtestservice.environmentcatalog.get;cloudtestservice.matrices.create;cloudtestservice.matrices.get;cloudtestservice.matrices.update;cloudtoolresults.executions.create;cloudtoolresults.executions.get;cloudtoolresults.executions.list;cloudtoolresults.executions.update;cloudtoolresults.histories.create;cloudtoolresults.histories.get;cloudtoolresults.histories.list;cloudtoolresults.settings.create;cloudtoolresults.settings.get;cloudtoolresults.settings.update;cloudtoolresults.steps.create;cloudtoolresults.steps.get;cloudtoolresults.steps.list;cloudtoolresults.steps.update;firebase.billingPlans.get;firebase.clients.get;firebase.projects.get;resourcemanager.projects.get;resourcemanager.projects.list;storage.buckets.create;storage.buckets.get;storage.buckets.update;storage.objects.create;storage.objects.get;storage.objects.list
roles/cloudtestservice.testViewer,cloudtestservice.environmentcatalog.get;cloudtestservice.matrices.get;cloudtoolresults.executions.get;cloudtoolresults.executions.list;cloudtoolresults.histories.get;cloudtoolresults.histories.list;cloudtoolresults.settings.get;cloudtoolresults.steps.get;cloudtoolresults.steps.list;firebase.clients.get;firebase.projects.get;resourcemanager.projects.get;resourcemanager.projects.list;storage.objects.get;storage.objects.list
roles/cloudtrace.admin,cloudtrace.insights.get;cloudtrace.insights.list;cloudtrace.stats.get;cloudtrace.tasks.create;cloudtrace.tasks.delete;cloudtrace.tasks.get;cloudtrace.tasks.list;cloudtrace.traces.get;cloudtrace.traces.list;cloudtrace.traces.patch;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtrace.agent,cloudtrace.traces.patch
roles/cloudtrace.user,cloudtrace.insights.get;cloudtrace.insights.list;cloudtrace.stats.get;cloudtrace.tasks.create;cloudtrace.tasks.delete;cloudtrace.tasks.get;cloudtrace.tasks.list;cloudtrace.traces.get;cloudtrace.traces.list;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtranslate.admin,automl.models.get;automl.models.predict;cloudtranslate.generalModels.batchPredict;cloudtranslate.generalModels.get;cloudtranslate.generalModels.predict;cloudtranslate.glossaries.batchPredict;cloudtranslate.glossaries.create;cloudtranslate.glossaries.delete;cloudtranslate.glossaries.get;cloudtranslate.glossaries.list;cloudtranslate.glossaries.predict;cloudtranslate.languageDetectionModels.predict;cloudtranslate.locations.get;cloudtranslate.locations.list;cloudtranslate.operations.cancel;cloudtranslate.operations.delete;cloudtranslate.operations.get;cloudtranslate.operations.list;cloudtranslate.operations.wait;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtranslate.editor,automl.models.get;automl.models.predict;cloudtranslate.generalModels.batchPredict;cloudtranslate.generalModels.get;cloudtranslate.generalModels.predict;cloudtranslate.glossaries.batchPredict;cloudtranslate.glossaries.create;cloudtranslate.glossaries.delete;cloudtranslate.glossaries.get;cloudtranslate.glossaries.list;cloudtranslate.glossaries.predict;cloudtranslate.languageDetectionModels.predict;cloudtranslate.locations.get;cloudtranslate.locations.list;cloudtranslate.operations.cancel;cloudtranslate.operations.delete;cloudtranslate.operations.get;cloudtranslate.operations.list;cloudtranslate.operations.wait;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtranslate.user,automl.models.get;automl.models.predict;cloudtranslate.generalModels.batchPredict;cloudtranslate.generalModels.get;cloudtranslate.generalModels.predict;cloudtranslate.glossaries.batchPredict;cloudtranslate.glossaries.get;cloudtranslate.glossaries.list;cloudtranslate.glossaries.predict;cloudtranslate.languageDetectionModels.predict;cloudtranslate.locations.get;cloudtranslate.locations.list;cloudtranslate.operations.get;cloudtranslate.operations.list;cloudtranslate.operations.wait;resourcemanager.projects.get;resourcemanager.projects.list
roles/cloudtranslate.viewer,automl.models.get;cloudtranslate.generalModels.get;cloudtranslate.glossaries.get;cloudtranslate.glossaries.list;cloudtranslate.locations.get;cloudtranslate.locations.list;cloudtranslate.operations.get;cloudtranslate.operations.list;cloudtranslate.operations.wait;resourcemanager.projects.get;resourcemanager.projects.list
roles/codelabapikeys.admin,resourcemanager.projects.get;resourcemanager.projects.list
roles/codelabapikeys.editor,resourcemanager.projects.get;resourcemanager.projects.list
roles/codelabapikeys.viewer,resourcemanager.projects.get;resourcemanager.projects.list
roles/composer.admin,composer.environments.create;composer.environments.delete;composer.environments.get;composer.environments.list;composer.environments.update;composer.imageversions.list;composer.operations.delete;composer.operations.get;composer.operations.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list
roles/composer.environmentAndStorageObjectAdmin,composer.environments.create;composer.environments.delete;composer.environments.get;composer.environments.list;composer.environments.update;composer.imageversions.list;composer.operations.delete;composer.operations.get;composer.operations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list;storage.objects.create;storage.objects.delete;storage.objects.get;storage.objects.getIamPolicy;storage.objects.list;storage.objects.setIamPolicy;storage.objects.update
roles/composer.environmentAndStorageObjectViewer,composer.environments.get;composer.environments.list;composer.imageversions.list;composer.operations.get;composer.operations.list;resourcemanager.projects.get;resourcemanager.projects.list;serviceusage.quotas.get;serviceusage.services.get;serviceusage.services.list;storage.objects.get;storage.objects.list
